"","무인교통단속카메라관리번호","시도명","시군구명","도로종류","도로노선번호","도로노선명","도로노선방향","소재지도로명주소","소재지지번주소"
"1","F9486","경기도","시흥시","시도","해당없음","해송십리로",3,"","경기도 시흥시 정왕동 2566"
"2","F9487","경기도","시흥시","시도","해당없음","해송십리로",3,"","경기도 시흥시 정왕동 2554"
"3","F9488","경기도","안산시","일반국도","39번","중앙대로",3,"","경기도 안산시 단원구 고잔동 821"
"4","F9489","경기도","안산시","시도","해당없음","해안로",3,"","경기도 안산시 상록구 사동 1636"
"5","F9490","경기도","안성시","시도","해당없음","안성맞춤대로",3,"","경기도 안성시 미양면 양변리 260-2"
"6","F9491","경기도","수원시","시도","해당없음","월드컵로",3,"","경기도 수원시 팔달구 우만동 293-12"
"7","F9492","경기도","수원시","시도","해당없음","팔달로",3,"","경기도 수원시 장안구 영화동 375-28"
"8","F9493","경기도","수원시","시도","해당없음","팔달로",3,"","경기도 수원시 장안구 영화동 349-7"
"9","F9494","경기도","수원시","시도","해당없음","서부로",3,"","경기도 수원시 장안구 이목동 243-22"
"10","F9495","경기도","수원시","시도","해당없음","권선로",3,"","경기도 수원시 권선구 세류동 227-12"
"11","F9496","경기도","수원시","시도","해당없음","오목천로",3,"","경기도 수원시 권선구 오목천동 438-5"
"12","F9497","경기도","수원시","시도","해당없음","팔달로",3,"","경기도 수원시 팔달구 고등동 169-2"
"13","F9498","경기도","광명시","시도","해당없음","오리로",3,"","경기도 광명시 일직동 228-1"
"14","F9499","경기도","안양시","시도","해당없음","충훈로",3,"","경기도 안양시 만안구 석수동 796-9"
"15","F9500","경기도","이천시","시도","12번","서이천로",3,"","경기도 이천시 마장면 표교리 540-11"
"16","F9501","경기도","수원시","시도","해당없음","구운로85번길",3,"","경기도 수원시 권선구 구운동 924-3"
"17","F9633","경기도","부천시","일반국도","39번","벌말로",3,"","경기도 부천시 대장동 675-22"
"18","F9634","경기도","부천시","시도","해당없음","중동로",3,"","경기도 부천시 중동 45-15"
"19","F9635","경기도","부천시","시도","해당없음","상이로",3,"","경기도 부천시 상동 586-3"
"20","F9636","경기도","부천시","시도","해당없음","조마루로",3,"","경기도 부천시 중동 1174"
"21","F9637","경기도","부천시","시도","해당없음","상일로",3,"","경기도 부천시 상동 473"
"22","F9638","경기도","부천시","시도","해당없음","범안로",3,"","경기도 부천시 계수동 67-12"
"23","F9639","경기도","부천시","시도","해당없음","장말로",3,"","경기도 부천시 상동 418-1"
"24","F9640","경기도","부천시","시도","해당없음","석천로",3,"","경기도 부천시 중동 1228-1"
"25","F9198","경기도","용인시","일반국도","17번","죽양대로",3,"","경기도 용인시 처인구 양지면 평창리 808-2"
"26","F9199","경기도","수원시","시도","해당없음","센트럴파크로",3,"","경기도 수원시 영통구 이의동 1381-6"
"27","F9200","경기도","수원시","시도","해당없음","센트럴파크로",3,"","경기도 수원시 영통구 이의동 1381-6"
"28","F9201","경기도","평택시","일반국도","77번","포승향남로",3,"","경기도 평택시 포승읍 도곡리 1206"
"29","F9202","경기도","화성시","일반국도","77번","포승향남로",3,"","경기도 화성시 우정읍 이화리 산 58-8"
"30","F9203","경기도","시흥시","일반국도","39번","수인로",3,"","경기도 시흥시 군자동 121-3"
"31","F9204","경기도","김포시","시도","해당없음","김포한강1로",3,"","경기도 김포시 운양동 1304-11"
"32","F9205","경기도","김포시","지방도","355번","흥신로",3,"","경기도 김포시 양촌읍 흥신리 352-3"
"33","F9206","경기도","안산시","시도","해당없음","용신로",3,"","경기도 안산시 상록구 본오동 874-7"
"34","F9207","경기도","안산시","시도","해당없음","신안산대학로",3,"","경기도 안산시 단원구 초지동747-3"
"35","F9208","경기도","안산시","시도","해당없음","대부황금로",3,"","경기도 안산시 단원구 대부북동 1855-42"
"36","F9209","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 고촌읍 풍곡리 450-2"
"37","F9210","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 고촌읍 풍곡리 450-2"
"38","F9211","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 고촌읍 풍곡리 450-2"
"39","F9212","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 걸포동 924-1"
"40","F9213","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 걸포동 924-1"
"41","F9214","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 걸포동 924-1"
"42","F9215","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 걸포동 924-1"
"43","F9216","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 걸포동 924-1"
"44","F9217","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 걸포동 924-1"
"45","F9218","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 고촌읍 풍곡리 450-1"
"46","F9219","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 고촌읍 풍곡리 450-1"
"47","F9220","경기도","김포시","일반국도","48번","태장로",3,"","경기도 김포시 고촌읍 풍곡리 450-1"
"48","F9484","경기도","시흥시","시도","해당없음","해송십리로",3,"","경기도 시흥시 정왕동 1772-6"
"49","F9485","경기도","시흥시","시도","해당없음","해송십리로",3,"","경기도 시흥시 정왕동 1775-1"
"50","F9038","경기도","양평군","군도","12번","중앙로",3,"","경기도 양평군 양평읍 공흥리 750-4"
"51","F9100","경기도","수원시","시도","해당없음","권선로",3,"","경기도 수원시 영통구 신동 529-15"
"52","F9101","경기도","화성시","지방도","318번","시청로",3,"","경기도 화성시 남양읍 남양리 2144-3"
"53","F9148","경기도","의왕시","일반국도","1번","경수대로",3,"","경기도 의왕시 오전동 118-7"
"54","F9149","경기도","의왕시","지방도","57번","안양판교로",3,"","경기도 의왕시 청계동 530-4"
"55","F9150","경기도","시흥시","일반국도","77번","서해안로",3,"","경기도 시흥시 정왕동 1773-5"
"56","F9151","경기도","시흥시","일반국도","77번","서해안로",3,"","경기도 시흥시 정왕동 1776"
"57","F9152","경기도","이천시","시도","해당없음","남이천로",3,"","경기도 이천시 모가면 어농리 482-2"
"58","F9153","경기도","성남시","고속국도","171번","용인-서울",3,"","경기도 성남시 분당구 운중동 914-1"
"59","F9182","경기도","시흥시","시도","해당없음","동서로",3,"","경기도 시흥시 하중동 794-4"
"60","F9183","경기도","이천시","지방도","337번","황무로",3,"","경기도 이천시 신둔면 인후리 218"
"61","F9184","경기도","안산시","일반국도","42번","수인로",3,"","경기도 안산시 상록구 팔곡일동 605-13"
"62","F9185","경기도","안산시","일반국도","42번","수인로",3,"","경기도 안산시 상록구 일동 706"
