"","adtFrDd","sgguNm","sidoNm","spclAdmTyCd","telno","yadmNm"
"1","20200220","강동구","서울","97","02-517-1728","(의)한국필의료재단 한국의원"
"2","20200220","광명시","경기","97","-1899-1510","의료법인 신원의료재단 신원의원"
"3","20200220","관악구","서울","97","02-1877-8875","에이치플러스 양지병원"
"4","20200220","동작구","서울","97","-1800-1114","중앙대학교병원"
"5","20200220","부산진구","부산","97","051-890-6114","인제대학교부산백병원"
"6","20200220","중구","대구","97","053-200-5114","경북대학교병원"
"7","20200220","달서구","대구","97","-1577-6622","계명대학교동산병원"
"8","20200220","남구","대구","97","053-623-8001","영남대학교병원"
"9","20200220","북구","대구","97","053-200-2000","칠곡경북대학교병원"
"10","20200220","창원시 성산구","경남","97","055-214-2000","창원경상국립대학교병원"
"11","20200220","진주시","경남","97","055-750-8000","경상국립대학교병원"
"12","20200220","송파구","서울","97","02-910-2100","의료법인장원의료재단유투의원"
"13","20200304","성남시 분당구","경기","97","031-698-2728","티씨엠랩의원"
"14","20200304","순천시","전남","97","061-720-2000","성가롤로병원"
"15","20200303","창원시 의창구","경남","97","055-270-1000","재단법인대구포교성베네딕도수녀회창원파티마병원"
"16","20200207","부천시","경기","97","032-621-5114","순천향대학교부속부천병원"
"17","20200207","화성시","경기","97","031-8086-3000","한림대학교동탄성심병원"
"18","20200207","춘천시","강원","97","033-258-2000","강원대학교병원"
"19","20200207","청주시 서원구","충북","97","043-269-6114","충북대학교병원"
"20","20200207","천안시 동남구","충남","97","041-1588-0063","단국대학교의과대학부속병원"
"21","20200207","전주시 덕진구","전북","97","063-250-1114","전북대학교병원"
"22","20200228","노원구","서울","97","02-970-2114","한국원자력의학원원자력병원"
"23","20200228","동구","대구","97","053-1688-7770","대구파티마병원"
"24","20200228","남구","대구","97","053-650-3000","대구가톨릭대학교병원"
"25","20200228","서구","대전","97","042-611-3000","학교법인 을지학원 대전을지대학교병원"
"26","20200228","성남시 분당구","경기","97","031-779-0114","대진의료재단 분당제생병원"
"27","20200228","고양시 일산서구","경기","97","031-910-7114","인제대학교일산백병원"
"28","20200228","춘천시","강원","97","033-240-5000","한림대학교부속 춘천성심병원"
"29","20200228","화순군","전남","97","061-379-7114","화순전남대학교병원"
"30","20200220","동대문구","서울","97","02-958-8114","경희대학교병원"
"31","20200220","강동구","서울","97","02-2224-2114","성심의료재단강동성심병원"
"32","20200220","성동구","서울","97","02-2290-8114","한양대학교병원"
"33","20200220","도봉구","서울","97","02-901-3114","의료법인한전의료재단 한일병원"
"34","20200220","서구","인천","97","032-1600-8291","가톨릭관동대학교 국제성모병원"
"35","20200220","부평구","인천","97","032-1544-9004","가톨릭대학교인천성모병원"
"36","20200220","중구","인천","97","032-890-2114","인하대학교의과대학부속병원"
"37","20200220","동구","광주","97","062-220-3321","조선대학교병원"
"38","20200220","중구","대전","97","042-220-9114","학교법인 가톨릭학원 가톨릭대학교 대전성모병원"
"39","20200220","고양시 일산동구","경기","97","031-1577-7000","동국대학교일산불교병원"
"40","20200220","수원시 팔달구","경기","97","031-1577-8588","가톨릭대학교 성빈센트병원"
"41","20200220","수원시 영통구","경기","97","031-219-5114","아주대학교병원"
"42","20200220","안양시 동안구","경기","97","031-380-1500","한림대학교성심병원"
"43","20200220","구리시","경기","97","-1644-9118","한양대학교구리병원"
"44","20200220","천안시 동남구","충남","97","041-570-2114","순천향대학교부속 천안병원"
"45","20200220","전주시 완산구","전북","97","063-230-8114","재단법인예수병원유지재단예수병원"
"46","20200220","익산시","전북","97","063-859-1114","원광대학교병원"
"47","20200220","창원시 마산회원구","경남","97","055-233-8899","학교법인성균관대학삼성창원병원"
"48","20200309","강서구","서울","97","02-6986-5707","이화여자대학교의과대학부속서울병원"
"49","20200207","성남시 분당구","경기","97","031-628-0713","랩지노믹스진단검사의학과의원"
"50","20200207","용인시 기흥구","경기","97","031-275-5522","선함의원(에스큐랩SQ Lab)"
