"","dutyName","dutyAddr","dutyMapimg","dutyTel1"
"1","123약국","부산광역시 서구 까치고개로 216-1 (아미동1가)","1호선 토성역 8번출구","051-241-0123"
"2","153옵티마약국","부산광역시 기장군 정관면 정관로 579,","버스정류장: 정관온천입구","051-727-7518"
"3","1층약국","부산광역시 해운대구 해운대로 794, 엘리움 107호 (좌동)","2호선 장산역 11, 13번출구","051-930-0617"
"4","1호선범일약국","부산광역시 동구 범일로 지하 108, 지하1층 17호 (범일동)","1호선 범일역 5번출구","051-637-0421"
"5","21세기약국","부산광역시 동래구 중앙대로 1393  (온천동)","버스정류장: 롯데마트 동래점 지하1층","051-668-2751"
"6","21세기우리네약국","부산광역시 남구 수영로 43","버스정류장: 문현로타리","051-646-8260"
"7","25시약국","부산광역시 동구 조방로 45","1호선 범일역 6번출구","051-642-1253"
"8","41번길약국","부산광역시 수영구 과정로41번길 20, 메디플러스 102호 (망미동)",NA,"051-754-4997"
"9","7번약국","부산광역시 수영구 수영로 690-5, 102호 (광안동)","수영역 7번 출구 앞 ","051-752-2525"
"10","7층약국","부산광역시 사하구 낙동남로 1412, 경부빌딩 7층 (하단동)","1호선 하단역 4번 출구","051-291-4478"
"11","LG약국","부산광역시 남구 분포로 111","버스정류장: LG메트로시티주상가204호","051-612-0123"
"12","The튼튼약국","부산광역시 부산진구 가야대로679번길 133 (당감동)","2호선 가야역 4번출구/유림아파트상가뒤","051-894-5252"
"13","The편한약국","부산광역시 금정구 서동로 160 (서동)","버스정류장: 세웅병원","051-529-5879"
"14","가까운약국","부산광역시 부산진구 가야대로 779 (부전동)",NA,"051-819-1421"
"15","가까운약국","부산광역시 동래구 충렬대로181번길 17, (명륜동)","대동병원 후문","051-554-2674"
"16","가까운약국","부산광역시 해운대구 구남로8번길 77 (우동)","2호선 해운대역 7번출구","051-731-1088"
"17","가까운약국","부산광역시 서구 대신공원로 29, (서대신동3가)","버스정류장: 동아대병원 앞","051-248-6111"
"18","가람약국","부산광역시 사하구 다대로 143 (신평동)","강동병원앞","051-293-8760"
"19","가야늘푸른약국","부산광역시 부산진구 대학로 12 (가야동)","버스정류장: 가야 1치안센터","051-892-9241"
"20","가야로약국","부산광역시 부산진구 냉정로 226, (개금동)","개금 대우약국 맞은편 / 2호선 개금역 1,3번 출구","051-898-5144"
"21","가야약국","부산광역시 연제구 반송로 6","연산동지하철역4번출구앞","051-862-8415"
"22","가야약국","부산광역시 사하구 하신번영로 233, 227동 107호 (하단동, 가락타운2단지아파트)","버스정류장: 가락타운2단지 상가","051-206-1629"
"23","가야하나로약국","부산광역시 부산진구 가야대로 476-1 ","2호선 개금역 1번출구","051-897-4284"
"24","가온샘약국","부산광역시 금정구 장전로 10, 1층 104호 (장전동)","1호선 부산대역 1번 출구","051-912-7790"
"25","가온약국","부산광역시 강서구 신호산단2로 33 ","버스정류장: 녹산농협","051-973-8275"
"26","감사약국","부산광역시 연제구 중앙대로 1043, 1층 (연산동)","1호선 시청역 1번출구","051-868-2293"
"27","감천무지개약국","부산광역시 사하구 옥천로 11 (감천동)",NA,"051-203-1032"
"28","감천우리들약국","부산광역시 사하구 옥천로 2 (감천동)","버스정류장:감천동우체국","051-203-8780"
"29","강림온누리약국","부산광역시 동래구 충렬대로237번길 3 ","4호선 수안역 7번출구","051-552-6929"
"30","강약국","부산광역시 부산진구 가야대로 785, (부전동)","롯데백화점앞 / 1,2호선 서면역 9번 출구","051-806-0789"
"31","강약국","부산광역시 영도구 절영로13번길 53, (봉래동3가)","해동병원 별관 옆","051-416-4906"
"32","강약국","부산광역시 연제구 고분로 32 (연산동)","마을버스정류장이름 강약국","051-863-7003"
"33","강약국","부산광역시 금정구 시실로 13 (부곡동)","1호선 온천장역 2번출구","051-514-8787"
"34","개금금성당약국","부산광역시 부산진구 냉정로 217, 1층 (개금동)","개금역 1번출구 ","051-893-0222"
"35","개금현대약국","부산광역시 부산진구 엄광로 33 (개금동)","버스정류장: 현대아이아파트/일요일, 공휴일 전화 후 방문요망","051-932-7575"
"36","개나리약국","부산광역시 사하구 낙동대로 207-1 (괴정동)","1호선 괴정역 10번출구","051-294-2250"
"37","건강드림약국","부산광역시 북구 덕천로 299 (만덕동) ","버스정류장: 만덕2동사무소맞은편","051-343-7577"
"38","건강메디칼약국","부산광역시 금정구 중앙대로 1829 (구서동)","1호선 구서역 4번출구","051-953-7007"
"39","건강백세약국","부산광역시 북구 만덕대로 14, (덕천동)","지하철 덕천역 9번출구 앞","051-342-0861"
"40","건강약국","부산광역시 금정구 부곡로 107","부곡동 시장 사거리","051-515-8558"
"41","건강약국","부산광역시 수영구 과정로 69, (망미동)","버스정류장: 선경아파트 정문","051-761-1820"
"42","건강약국","부산광역시 서구 고운들로 32","동아대학교 부민캠퍼스 뒷편","051-256-5077"
"43","건강약국","부산광역시 서구 대영로85번길 34","부산은행 동대신동지점과 동신초등학교 중간지점","051-246-8999"
"44","건강약국","부산광역시 북구 백양대로 1017, 한성빌딩 (구포동)","2호선 구남역 1번 출구","051-333-1977"
"45","건강약국","부산광역시 금정구 금강로415번길 2, (구서동)","국민은행구서동지점앞","051-512-4589"
"46","건강약국","부산광역시 부산진구 범전로5번길 8","세홍의원 후문","051-817-7111"
"47","건강약국","부산광역시 부산진구 진남로 549, 1층 (양정동)","동의의료원 입구","051-861-3644"
"48","건강약국","부산광역시 부산진구 자유평화로 7, (범천동,평화시장건강약국)","1호선 범일역 10번 출구","051-646-0519"
"49","건강약국","부산광역시 기장군 기장읍 차성동로 69","기장시장 석천탕 옆 버스정류소","051-722-8861"
"50","건강왕약국","부산광역시 사하구 다대로 547 (다대동)","다대농협사거리국민은행옆","051-262-7005"
